VoyageToMoonResult [timestamp=2014-09-11T17:51:00.000Z, speed=10837.0, surface=85224.8485891954, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8276533.43, e= 1.220, omega=130.967, i=168.742, OMEGA=163.593, Tp=2014-09-16T10:57:26.251Z, period=67553.921), trueAnomaly=6.282847877215836}, velocity=2444.5218361494217, minTimestamp=2014-09-16T10:57:26.000Z, duration=4 d 17 h 6 m 26 s, distance=1822224.8485891954]
VoyageToMoonResult [timestamp=2014-09-12T00:18:00.000Z, speed=10838.0, surface=187243.3462294049, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8045463.12, e= 1.239, omega=131.071, i=169.386, OMEGA=170.151, Tp=2014-09-16T09:24:30.754Z, period=64744.730), trueAnomaly=3.052590342282383E-4}, velocity=2388.997390607322, minTimestamp=2014-09-16T09:24:31.000Z, duration=4 d 9 h 6 m 31 s, distance=1924243.346229405]
VoyageToMoonResult [timestamp=2014-09-12T00:21:00.000Z, speed=10838.0, surface=166619.49712065165, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8044010.63, e= 1.237, omega=131.348, i=169.298, OMEGA=170.302, Tp=2014-09-16T09:23:46.197Z, period=64727.197), trueAnomaly=6.282935865508601}, velocity=2400.5514273927315, minTimestamp=2014-09-16T09:23:46.000Z, duration=4 d 9 h 2 m 46 s, distance=1903619.4971206516]
VoyageToMoonResult [timestamp=2014-09-12T00:24:00.000Z, speed=10838.0, surface=146016.3704994016, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8042508.89, e= 1.234, omega=131.626, i=169.209, OMEGA=170.454, Tp=2014-09-16T09:23:01.717Z, period=64709.072), trueAnomaly=3.6157952222904294E-4}, velocity=2412.289788960112, minTimestamp=2014-09-16T09:23:02.000Z, duration=4 d 8 h 59 m 2 s, distance=1883016.3704994016]
VoyageToMoonResult [timestamp=2014-09-12T00:27:00.000Z, speed=10838.0, surface=125435.59833961655, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8041057.39, e= 1.232, omega=131.904, i=169.119, OMEGA=170.605, Tp=2014-09-16T09:22:17.316Z, period=64691.555), trueAnomaly=6.282773088337382}, velocity=2424.214790431555, minTimestamp=2014-09-16T09:22:17.000Z, duration=4 d 8 h 55 m 17 s, distance=1862435.5983396166]
VoyageToMoonResult [timestamp=2014-09-12T00:30:00.000Z, speed=10838.0, surface=104878.26345897163, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8039554.16, e= 1.229, omega=132.184, i=169.027, OMEGA=170.755, Tp=2014-09-16T09:21:32.995Z, period=64673.416), trueAnomaly=6.31213258527298E-6}, velocity=2436.332352623679, minTimestamp=2014-09-16T09:21:33.000Z, duration=4 d 8 h 51 m 33 s, distance=1841878.2634589716]
VoyageToMoonResult [timestamp=2014-09-12T00:33:00.000Z, speed=10838.0, surface=84346.22476209793, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8038050.05, e= 1.227, omega=132.464, i=168.934, OMEGA=170.906, Tp=2014-09-16T09:20:48.755Z, period=64655.267), trueAnomaly=3.285760147780386E-4}, velocity=2448.645670085253, minTimestamp=2014-09-16T09:20:49.000Z, duration=4 d 8 h 47 m 49 s, distance=1821346.224762098]
VoyageToMoonResult [timestamp=2014-09-12T02:27:00.000Z, speed=10835.0, surface=82393.42754936521, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8274301.70, e= 1.220, omega=137.785, i=19.678, OMEGA=187.868, Tp=2014-09-16T10:40:58.192Z, period=67526.599), trueAnomaly=6.282926548967389}, velocity=2446.2674124059286, minTimestamp=2014-09-16T10:40:58.000Z, duration=4 d 8 h 13 m 58 s, distance=1819393.4275493652]
VoyageToMoonResult [timestamp=2014-09-12T02:30:00.000Z, speed=10835.0, surface=98974.48609746806, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8272968.18, e= 1.222, omega=137.630, i=19.603, OMEGA=187.923, Tp=2014-09-16T10:40:55.960Z, period=67510.275), trueAnomaly=5.276456782880242E-5}, velocity=2436.314493987437, minTimestamp=2014-09-16T10:40:56.000Z, duration=4 d 8 h 10 m 56 s, distance=1835974.486097468]
VoyageToMoonResult [timestamp=2014-09-12T02:33:00.000Z, speed=10835.0, surface=115690.53691979242, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8271641.87, e= 1.224, omega=137.475, i=19.529, OMEGA=187.978, Tp=2014-09-16T10:40:53.921Z, period=67494.041), trueAnomaly=1.0241407979613363E-4}, velocity=2426.4207580693524, minTimestamp=2014-09-16T10:40:54.000Z, duration=4 d 8 h 7 m 54 s, distance=1852690.5369197924]
